altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,6,13,Chicago,54,True,True,Chicago,2021-08-31 13:18:44,41.896362458,Chicago,-87.6540612729,60602,Chicago,Chicago,Ogden Ave & Chicago Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,13,10,Chicago,55,True,True,Chicago,2021-08-31 13:10:58,41.867324,Chicago,-87.648625,60602,Chicago,Chicago,Halsted St & Roosevelt Rd,IN_SERVICE,1,IN_SERVICE,False,23
0.0,1,26,Chicago,56,True,True,Chicago,2021-08-31 13:07:59,41.888716036,Chicago,-87.6444478533,60602,Chicago,Chicago,Desplaines St & Kinzie St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,2,13,Chicago,57,True,True,Chicago,2021-08-31 13:18:16,41.8671177825,Chicago,-87.6410879593,60602,Chicago,Chicago,Clinton St & Roosevelt Rd,IN_SERVICE,1,IN_SERVICE,False,15
0.0,4,19,Chicago,58,True,True,Chicago,2021-08-31 12:28:40,41.91643342912655,Chicago,-87.66674637794495,60602,Chicago,Chicago,Elston Ave & Cortland St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,3,20,Chicago,59,True,True,Chicago,2021-08-31 13:02:16,41.867227,Chicago,-87.625961,60602,Chicago,Chicago,Wabash Ave & Roosevelt Rd,IN_SERVICE,1,IN_SERVICE,False,23
0.0,4,15,Chicago,60,True,True,Chicago,2021-08-31 13:15:08,41.9105780349,Chicago,-87.6494219288,60602,Chicago,Chicago,Dayton St & North Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,8,11,Chicago,61,True,True,Chicago,2021-08-31 13:19:02,41.907655,Chicago,-87.672552,60602,Chicago,Chicago,Wood St & Milwaukee Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,3,24,Chicago,62,True,True,Chicago,2021-08-31 12:04:16,41.8513751729,Chicago,-87.6188346489,60602,Chicago,Chicago,McCormick Place,IN_SERVICE,1,IN_SERVICE,False,27
0.0,11,12,Chicago,66,True,True,Chicago,2021-08-31 13:16:56,41.885637,Chicago,-87.641823,60602,Chicago,Chicago,Clinton St & Lake St,IN_SERVICE,1,IN_SERVICE,False,23
